Start log
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
iiwa, (iiwaGo(brick21.pre,home),true,0), WINNER(iiwaGo(brick21.pre,home),0)
